cedente,sacado,nf,valor,vencimento,status
Alfa Comercio Ltda,Mercado Norte SA,1001,10000.00,2026-09-10,ABERTO
Alfa Comercio Ltda,Padaria Sul ME,1002,4000.00,2026-08-01,VENCIDO
Beta Servicos Ltda,Hospital Central,2001,70000.00,2026-10-05,ABERTO
Gama Industria Ltda,Loja Centro ME,3001,5000.00,2026-07-15,LIQUIDADO
Delta Atacado Ltda,Rede Leste SA,4001,6000.00,2026-08-20,ABERTO
Echo Transportes Ltda,Posto BR Ltda,5001,10000.00,2026-06-01,VENCIDO
Zeta Alimentos Ltda,Cliente Zeta SA,7001,1000.00,2026-09-01,ABERTO
Eta Confeccoes Ltda,Cliente Eta ME,8001,2000.00,2026-09-02,ABERTO
Alfa Comercio Ltda,Mercado Norte SA,1001,999.00,2026-09-11,ABERTO
Theta Pecas Ltda,Cliente Theta SA,9001,-50.00,2026-09-01,ABERTO
